source_tex, atlas_tex, x, y, width, height
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_up\spr_button_up_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 0, 589, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_c_button\spr_c_button_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 879, 0, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_h_button\spr_button_h_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 850, 31, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_x_button\spr_x_button_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 798, 14, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_z_button\spr_z_button_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 769, 45, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_settings_mobile\spr_settings_mobile_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 737, 92, 19, 24
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_analog_scale\spr_analog_scale_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 708, 123, 47, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_mobile_pad\spr_mobile_pad_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 671, 140, 19, 20
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_analog_type\spr_analog_type_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 642, 171, 47, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_scale\spr_button_scale_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 280, 482, 47, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_settings_mobile\spr_settings_mobile_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 251, 511, 19, 20
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_controls_config\spr_controls_config_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 199, 496, 47, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_reset_config\spr_reset_config_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 170, 525, 47, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_arrow_leftright_mobile\spr_arrow_leftright_mobile_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 90, 511, 41, 9
